STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
NL:S:49613501;Westermeenweg;Harderwijk;8,3;12,0;2,3;4,1;1,5;2,7
NL:S:49619001;Buitenbrinkweg;Horst;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:49712001;Grevenhofsweg;Hierden;1,5;1,2;0,8;0,6;0,0;0,0
NL:S:49712003;Molenweg;Hierden;7,2;6,7;3,5;3,8;0,0;0,0
NL:S:49712005;Wijtgraaf;Hierden;1,2;1,3;0,9;0,7;0,0;0,0
NL:S:49713084;Voltastraat;Harderwijk;1,9;2,4;0,5;0,7;0,0;0,0
NL:S:49713086;Celsiusstraat;Harderwijk;8,7;10,6;0,3;0,3;0,0;0,0
NL:S:49713088;Kelvinstraat;Harderwijk;2,8;4,1;0,2;0,2;0,0;0,0
NL:S:49720001;Sonneheerdt;Ermelo;21,3;21,6;1,1;1,2;0,5;0,3
NL:S:49720003;Hamburgerweg;Ermelo;24,1;22,6;5,4;5,9;3,7;2,8
NL:S:49720005;'t Weitje;Ermelo;16,3;16,0;6,2;6,2;4,1;2,5
NL:S:49720007;Eendenparkweg;Ermelo;6,9;7,8;2,2;1,9;0,6;0,5
NL:S:49720009;Nassaulaan;Ermelo;2,0;2,3;0,6;1,1;0,9;0,4
NL:S:49720011;Fazantlaan;Ermelo;2,2;2,9;0,7;1,0;0,7;0,4
NL:S:49720023;Varenhof;Ermelo;0,0;0,1;0,0;0,0;0,0;0,0
NL:S:49720027;Dirk Staalweg;Ermelo;2,6;4,1;0,0;0,0;0,0;0,0
NL:S:49720037;Station;Ermelo;5,0;2,8;1,3;0,7;0,0;0,0
NL:S:49720049;Lange Haeg;Ermelo;1,0;1,3;0,0;0,0;0,0;0,0
NL:S:49720051;Veldwijkerweg;Ermelo;4,0;5,0;0,0;0,0;0,0;0,0
NL:S:49720053;Dr. van Dalelaan;Ermelo;3,2;3,5;0,0;0,0;0,0;0,0
NL:S:49720055;Generaal Spoorkazerne;Ermelo;0,5;0,5;0,0;0,0;0,0;0,0
NL:S:49720057;Triade;Ermelo;0,3;0,1;0,2;0,2;0,0;0,0
NL:S:49720059;Gemeentehuis;Ermelo;0,1;0,2;0,2;0,1;0,0;0,0
NL:S:49720061;De Meerkanten;Ermelo;0,1;0,0;0,0;0,0;0,0;0,0
NL:S:49720150;Kolbaanweg;Ermelo;1,1;1,2;0,0;0,0;0,0;0,0
NL:S:49720170;Molenaarsplein;Ermelo;0,1;0,2;0,2;0,2;0,0;0,0
NL:S:49726005;Horsterhoeve;Horst;0,1;0,1;0,0;0,1;0,0;0,0
NL:S:49726007;Groot Horloo;Horst;0,2;0,1;0,1;0,1;0,0;0,0
NL:S:49726017;Zeeweg;Horst;0,2;0,2;0,1;0,4;0,0;0,0
NL:S:49783031;Sonnevanck;Harderwijk;1,2;1,5;0,0;0,0;0,0;0,0
NL:S:49787007;Ullerberg;Leuvenum;0,6;0,7;0,0;0,0;0,0;0,0
NL:S:49804001;Boshuis;Drie;0,1;0,3;0,1;0,2;0,0;0,0
NL:S:49804003;Schaapskooi;Drie;0,0;0,1;0,0;0,1;0,0;0,0
