CONCESSIE;QUAYCODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
23;NL:Q:61280160;Walgtsestraat;Varik;0,1;0,0;0,0;0,0;0,0;0,0
23;NL:Q:61280170;Heesselt;Heesselt;0,0;0,0;0,0;0,0;0,0;0,0
23;NL:Q:61280180;Toevershof;Varik;0,6;0,1;0,0;0,0;0,0;0,0
23;NL:Q:61280190;Gerestraat 40;Heesselt;0,0;0,2;0,0;0,0;0,0;0,0
23;NL:Q:61280200;Postkantoor;Varik;0,4;0,0;0,0;0,0;0,0;0,0
23;NL:Q:61280210;Kerklaan;Heesselt;0,1;0,3;0,0;0,0;0,0;0,0
23;NL:Q:61280220;Kerkstraat 38;Varik;1,2;0,2;0,0;0,0;0,0;0,0
23;NL:Q:61280230;Gemeneweg;Heesselt;0,0;0,0;0,0;0,0;0,0;0,0
23;NL:Q:61280240;Kerkstraat 3;Varik;0,0;0,1;0,0;0,0;0,0;0,0
23;NL:Q:61280250;Van Riemsdijk;Heesselt;0,0;0,0;0,0;0,0;0,0;0,0
23;NL:Q:61280260;Achterstraat;Varik;0,1;0,0;0,0;0,0;0,0;0,0
23;NL:Q:61280270;Esterwegsestoep;Heesselt;0,0;0,0;0,0;0,0;0,0;0,0
23;NL:Q:61310060;Kanaalbrug;Wadenoijen;0,0;0,1;0,0;0,0;0,0;0,0
23;NL:Q:61310170;Kanaalbrug;Wadenoijen;0,0;0,0;0,0;0,0;0,0;0,0
23;NL:Q:61311020;Station Passewaaij;Tiel;4,5;2,5;0,0;0,0;0,0;0,0
23;NL:Q:61311030;Station Passewaaij;Tiel;0,6;1,9;0,0;0,0;0,0;0,0
23;NL:Q:61311040;Station Passewaaij Noordzijde;Tiel;0,1;0,3;0,0;0,0;0,0;0,0
23;NL:Q:61311050;Station Passewaaij Noordzijde;Tiel;0,0;0,1;0,0;0,0;0,0;0,0
23;NL:Q:61320020;Klapstraat;Afferden;4,2;0,5;2,1;0,2;3,1;0,2
23;NL:Q:61320031;Koningstraat;Afferden;0,0;0,9;0,0;0,3;0,1;0,8
23;NL:Q:61320041;Pas;Afferden;5,8;0,7;2,3;0,1;4,3;0,5
23;NL:Q:61320051;Pas;Afferden;0,4;4,7;0,2;3,7;0,3;3,8
23;NL:Q:61320061;Koningstraat;Afferden;1,1;0,2;0,4;0,2;0,7;0,1
23;NL:Q:61320070;Klapstraat;Afferden;0,4;3,9;0,1;2,5;0,3;2,4
23;NL:Q:61320080;Grotestraat;Deest;10,8;2,3;3,2;0,7;4,6;1,3
23;NL:Q:61320110;Grotestraat;Deest;1,5;8,0;0,8;3,0;1,3;5,5
23;NL:Q:61350010;Esterweg;Opijnen;0,0;0,3;0,0;0,0;0,0;0,0
23;NL:Q:61350020;PGEM Station;Neerijnen;0,0;0,2;0,0;0,0;0,0;0,0
23;NL:Q:61350030;Zandstraat 59;Opijnen;0,1;0,1;0,0;0,0;0,0;0,0
23;NL:Q:61350040;School;Neerijnen;0,1;0,1;0,0;0,0;0,0;0,0
23;NL:Q:61350050;Nieuwe Stoep;Opijnen;0,3;0,1;0,0;0,0;0,0;0,0
23;NL:Q:61350060;De Vor;Neerijnen;0,0;0,0;0,0;0,0;0,0;0,0
23;NL:Q:61350070;Smid van Empel;Opijnen;0,1;0,3;0,0;0,0;0,0;0,0
23;NL:Q:61350080;Repelsestraat;Opijnen;0,1;0,5;0,0;0,0;0,0;0,0
23;NL:Q:61350090;Gemeentehuis;Opijnen;2,4;2,8;0,0;0,0;0,0;0,0
23;NL:Q:61350100;Gemeentehuis;Opijnen;3,0;1,1;0,0;0,0;0,0;0,0
