STOPPLACECODE;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO;NAME;TOWN;RD-X;RD-Y
NL:S:61310060;0.0;0.0;0.0;0.0;0.0;0.0;Kanaalbrug;Wadenoijen;154150.0;431776.5
NL:S:61311020;2.1;1.2;0.0;0.0;0.1;0.0;Passewaaij;Tiel;155370.5;431600.0
NL:S:61320020;8.0;7.6;6.5;6.5;4.1;3.6;Klapstraat;Afferden;171647.5;432995.0
NL:S:61320031;1.5;1.7000000000000002;1.0;1.1;0.8;1.0;Koningstraat;Afferden;172789.0;432731.5
NL:S:61320041;15.0;15.2;7.4;9.0;6.699999999999999;5.6;Pas;Afferden;172043.0;432881.0
NL:S:61320080;30.299999999999997;29.8;12.3;13.600000000000001;8.6;9.2;Grotestraat;Deest;174147.0;432652.0
NL:S:61330030;0.6;0.1;0.0;0.0;0.0;0.0;Willibrordusstraat;Batenburg;171632.5;426230.0
NL:S:61330070;1.0;1.4;0.0;0.0;0.0;0.0;RK Kerk;Batenburg;171823.0;426029.0
NL:S:61340030;0.1;0.1;0.0;0.0;0.0;0.0;Leurseweg;Leur;175914.5;425691.5
NL:S:61340070;0.1;0.4;0.0;0.0;0.0;0.0;Broekstraat;Hernen;175098.5;427368.5
NL:S:61340090;1.0;0.8;0.0;0.0;0.0;0.0;Smitskampje;Hernen;175234.5;427142.5
NL:S:61350010;0.1;0.0;0.0;0.0;0.0;0.0;Esterweg;Opijnen;150901.0;427103.0
NL:S:61350020;0.1;0.1;0.0;0.0;0.0;0.0;PGEM Station;Neerijnen;147342.5;427314.0
NL:S:61350030;0.0;0.0;0.0;0.0;0.0;0.0;Zandstraat 59;Opijnen;150379.5;426847.5
NL:S:61350040;0.1;0.1;0.0;0.0;0.0;0.0;School;Neerijnen;147643.0;427034.5
NL:S:61350050;0.1;0.0;0.0;0.0;0.0;0.0;Nieuwe Stoep;Opijnen;149746.5;426825.5
NL:S:61350060;0.0;0.0;0.0;0.0;0.0;0.0;De Vor;Neerijnen;148199.0;427298.0
NL:S:61350070;0.2;0.3;0.0;0.0;0.0;0.0;Smid van Empel;Opijnen;149422.0;426731.5
NL:S:61350080;0.1;0.3;0.0;0.0;0.0;0.0;Repelsestraat;Opijnen;148295.5;427131.5
NL:S:61350090;2.2;2.1;0.0;0.0;0.1;0.0;Gemeentehuis;Opijnen;148942.0;426705.5
NL:S:61360010;0.3;0.3;0.1;0.5;0.0;0.0;Burg. Verweijlaan;Geldermalsen;148979.5;432627.0
NL:S:61360020;0.4;0.2;0.0;0.3;0.0;0.0;Zorgcentrum;Geldermalsen;148152.5;432306.5
NL:S:61360030;0.2;0.2;0.2;0.2;0.0;0.0;Prinses Marijkeweg;Geldermalsen;149049.0;433015.5
NL:S:61360070;0.5;0.5;0.0;0.0;0.0;0.0;Poppenbouwing Oost;Geldermalsen;150434.5;431512.0
NL:S:61360110;0.8;1.2;0.3;0.7;0.0;0.0;Centrum;Geldermalsen;148174.5;432660.0
NL:S:61360120;0.7;0.5;0.3;0.3;0.0;0.0;Kostverlorenkade;Geldermalsen;148310.5;432867.0
NL:S:61360130;0.1;0.4;0.1;0.0;0.0;0.0;Gemeentehuis;Geldermalsen;147843.0;432654.0
NL:S:61360220;0.5;0.6;0.2;0.2;0.0;0.0;Tunnelweg;Geldermalsen;147469.0;432543.5
NL:S:61360290;12.4;14.0;2.1;2.1;0.9;0.7;Kalenberg;Meteren;148196.0;431418.5
NL:S:61360310;1.2;1.6;1.2;1.0;1.3;1.5;Landbouwhuis;Meteren;147840.0;430390.0
NL:S:61360350;54.6;64.6;18.2;16.3;9.1;12.4;Station;Geldermalsen;146980.3;432566.3
NL:S:61360550;0.1;0.2;0.0;0.2;0.0;0.0;Rijnstraat;Geldermalsen;148730.0;433020.5
NL:S:61360630;1.0;1.5;0.0;0.0;0.0;0.0;Hogeweide;Geldermalsen;150260.0;431820.0
NL:S:61361050;25.4;29.2;0.1;0.0;0.6;0.6;Werkzaak;Geldermalsen;149708.0;431867.5
NL:S:61361310;0.0;0.0;0.0;0.0;0.0;0.0;Groeneweg;Buurmalsen;147522.0;433395.0
